"","Variable","RVI","Best.Model","Best.Model.SD","Model.Average","Full.Model","Connectivity","Temperature","Ideal.Larvae","Region","Beta","Beta2"
"1","deltaSST",0.410648555124962,NA,NA,0.025707881325746,0.0256388086084938,NA,0.00630694394707155,NA,"Carib",0,0
"2","rankSST",0.280517753754702,NA,NA,-0.00370632987908392,0.00416066114993002,NA,-0.028353643010271,NA,"Carib",0,0
"3","LR_log",0.713821259902008,-0.113400581163631,0.519922251653658,-0.089696002731992,-0.0729188793920189,-0.111115647124132,NA,NA,"Carib",0,0
"4","SR_log",0.691522538589959,NA,NA,-0.124899962863099,-0.0704202729645717,-0.0414233587447351,NA,NA,"Carib",0,0
"5","DS_log",0.528456127061638,-0.0840823342419607,0.707278683251716,-0.0660258051023492,-0.0545239250489175,0.0597944440156479,NA,-0.0454966293553202,"Carib",0,0
"6","ITM_log",0.30635277090939,NA,NA,-0.0137926839370504,-0.0134751003854265,NA,NA,0.00270375186562974,"Carib",0,0
"7","Area_log",0.999998593924396,0.157209107094336,0.611776651970536,0.154787522739795,0.165267568055702,NA,NA,NA,"Carib",0,0
"8","deltaSST",0.475235212694423,NA,NA,-0.0321438309324777,-0.0375217264852083,NA,-0.0561994949025128,NA,"Carib",0.05,1
"9","rankSST",0.800806415137964,-0.0438057161459416,0.448324734391499,-0.0542023911028086,-0.0651459643744489,NA,-0.12327744711398,NA,"Carib",0.05,1
"10","LR_log",0.416634286677714,NA,NA,-0.0530860867331508,-0.0359538848566508,-0.102425515882781,NA,NA,"Carib",0.05,1
"11","SR_log",0.948994105920915,-0.15827906332664,0.500653420707705,-0.158097982462841,-0.154736324202914,-0.0909308522758616,NA,NA,"Carib",0.05,1
"12","DS_log",0.432745762972883,NA,NA,0.0538442887928473,0.055591313470166,0.112850987306008,NA,-0.0401558008077244,"Carib",0.05,1
"13","ITM_log",0.999999983918919,0.131609876708332,0.413561378896531,0.130947677247703,0.124768487479966,NA,NA,0.152203249398956,"Carib",0.05,1
"14","Area_log",0.997794599362768,0.132635909960579,0.511972051629539,0.116953087480355,0.100865203015859,NA,NA,NA,"Carib",0.05,1
"15","deltaSST",0.782937029396019,-0.0420972527797485,NA,-0.0413096539102384,-0.0438023595521955,NA,-0.0423971429528191,NA,"Carib",0.5,2
"16","rankSST",1,-0.247478775341603,0.358036830774942,-0.241921540077616,-0.246235649201242,NA,-0.233849906678503,NA,"Carib",0.5,2
"17","LR_log",0.289493939486109,NA,NA,-0.0190965132244574,-0.0233827502462549,-0.15739710634649,NA,NA,"Carib",0.5,2
"18","SR_log",0.999999801802917,-0.327379950275502,0.444508680722561,-0.319998648362476,-0.300346851229349,-0.109303510953398,NA,NA,"Carib",0.5,2
"19","DS_log",1,0.511743176474759,NA,0.499384854909449,0.503922994563694,0.345428597578349,NA,0.148651693966613,"Carib",0.5,2
"20","ITM_log",0.999999998926463,0.103081325076223,0.334491404334447,0.102737857852233,0.102067785083182,NA,NA,0.176425550450625,"Carib",0.5,2
"21","Area_log",0.806926482023606,-0.0598594269208369,0.44396138527027,-0.0584751658430489,-0.0619659973208492,NA,NA,NA,"Carib",0.5,2
"22","deltaSST",1,-0.398213452918377,0.454219911595415,-0.395810669312829,-0.398627537810897,NA,-0.393941019898905,NA,"SWP",0,0
"23","rankSST",0.989351767683103,0.0631101077430475,0.465667835874104,0.0650107129090109,0.0631774965233716,NA,0.0608985199113892,NA,"SWP",0,0
"24","LR_log",0.518522884323528,-0.0410783780236965,0.554034408734952,-0.0345017378428303,-0.0384197509962962,0.0157346312702878,NA,NA,"SWP",0,0
"25","SR_log",0.811223342086878,0.0677292815052746,0.554238806553492,0.0527300491545559,0.0622637852696098,-0.0478568467540073,NA,NA,"SWP",0,0
"26","DS_log",0.318714747575666,NA,NA,0.0107659354490967,-0.00705613516273562,0.142552104091704,NA,0.124209376108868,"SWP",0,0
"27","ITM_log",0.732238384635891,-0.0366802490560822,0.440412025469289,-0.0366685620484584,-0.0369631908188356,NA,NA,-0.0303946792656964,"SWP",0,0
"28","Area_log",0.430237457115376,NA,NA,0.0226294783443521,0.0207898078658079,NA,NA,NA,"SWP",0,0
"29","deltaSST",1,-0.298192836612171,0.414433339958913,-0.296598136034777,-0.292379362636653,NA,-0.300206243931421,NA,"SWP",0.05,1
"30","rankSST",0.921790384789933,-0.0433084349561757,0.403713940216663,-0.0460660432222182,-0.0474163921587814,NA,-0.127141722379989,NA,"SWP",0.05,1
"31","LR_log",0.331238283967361,NA,NA,0.0148681076083265,0.0249568874393252,0.0488651171088443,NA,NA,"SWP",0.05,1
"32","SR_log",0.468677870771746,NA,NA,-0.0297482140901255,-0.0415279223345268,-0.0903947092873142,NA,NA,"SWP",0.05,1
"33","DS_log",0.999988148212188,0.0904120991864295,0.398819928627215,0.0997052885303663,0.116204453725253,0.228909597884044,NA,0.1724451238887,"SWP",0.05,1
"34","ITM_log",1,0.199026288134308,0.264738815504366,0.199151727021366,0.198358128157287,NA,NA,0.199438418451956,"SWP",0.05,1
"35","Area_log",0.312486228887409,NA,NA,-0.0134024363095423,-0.0121570350970999,NA,NA,NA,"SWP",0.05,1
"36","deltaSST",1,-0.221013894523836,0.348438839714505,-0.221249627542539,-0.221013894523835,NA,-0.277054819599246,NA,"SWP",0.5,2
"37","rankSST",1,-0.19415074893095,0.344640439677471,-0.195047506759054,-0.19415074893095,NA,-0.264447105508495,NA,"SWP",0.5,2
"38","LR_log",0.806336102201759,0.0441521701233975,0.483268729753598,0.0441521518923482,0.0441521701233976,0.0991711410961904,NA,NA,"SWP",0.5,2
"39","SR_log",0.999999797341099,-0.127118134267888,0.542677135867706,-0.120260998016706,-0.127118134267889,-0.154176698807726,NA,NA,"SWP",0.5,2
"40","DS_log",1,0.413278948866943,0.501450509841529,0.411539446021036,0.413278948866943,0.42811508836473,NA,0.350595802717083,"SWP",0.5,2
"41","ITM_log",1,0.166389534422904,0.22756183896998,0.165902096827751,0.166389534422904,NA,NA,0.211421628630108,"SWP",0.5,2
"42","Area_log",0.999999999975005,-0.113256255914067,0.385216656011313,-0.113852038791745,-0.113256255914067,NA,NA,NA,"SWP",0.5,2
"43","deltaSST",1,-0.276449494431281,0.443718713965392,-0.276443831024547,-0.27635009096753,NA,-0.273119641402651,NA,"CT",0,0
"44","rankSST",0.99995173113969,-0.0456606501738137,0.42855851494776,-0.0450092811112097,-0.0436753287399337,NA,-0.0463135464757244,NA,"CT",0,0
"45","LR_log",0.914221323597254,0.0391918560888351,0.608759550802895,0.0383366403851652,0.0332899964526752,-0.00700802613665885,NA,NA,"CT",0,0
"46","SR_log",0.936803368355925,0.03420218405244,0.596243058009497,0.0400258203508324,0.0425706416124297,0.0586130665330718,NA,NA,"CT",0,0
"47","DS_log",0.449582357006044,NA,NA,-0.0146070899587016,-0.0139919648966251,-0.00773049560162254,NA,0.0127002939340765,"CT",0,0
"48","ITM_log",0.801133487024909,-0.0200305950743991,0.403030923744986,-0.020421851831608,-0.0214399304549006,NA,NA,-0.0209176716236231,"CT",0,0
"49","Area_log",0.292582552553819,NA,NA,0.00491344779963579,0.00627210044960721,NA,NA,NA,"CT",0,0
"50","deltaSST",1,-0.154960783597849,0.398085075344249,-0.154959081851232,-0.15496078359785,NA,-0.11367500749079,NA,"CT",0.05,1
"51","rankSST",1,-0.276004733249212,0.366668896304519,-0.276002775063325,-0.276004733249213,NA,-0.175959449639129,NA,"CT",0.05,1
"52","LR_log",0.99999996652966,-0.0764393180441676,0.571864594174869,-0.0764399143281316,-0.0764393180441677,-0.0589673213407378,NA,NA,"CT",0.05,1
"53","SR_log",1,0.151700526588629,0.578221831245517,0.151703599198056,0.151700526588628,0.168980205782938,NA,NA,"CT",0.05,1
"54","DS_log",1,0.087747442153703,0.475167004913566,0.0877473494732228,0.0877474421537032,0.053187627558308,NA,0.111727678372843,"CT",0.05,1
"55","ITM_log",0.998749691055327,0.0169893654085253,0.200232210347743,0.0169893654191313,0.0169893654085254,NA,NA,-0.05840405540078,"CT",0.05,1
"56","Area_log",1,-0.450949128931038,0.332144491560292,-0.450940871832165,-0.450949128931038,NA,NA,NA,"CT",0.05,1
"57","deltaSST",0.999999999999993,0.0544118646558682,0.303714998571419,0.0544018606698109,0.0544118646558676,NA,0.0791901594338776,NA,"CT",0.5,2
"58","rankSST",1,-0.340195805759438,0.277055809825074,-0.340254361528344,-0.340195805759439,NA,-0.217335912739072,NA,"CT",0.5,2
"59","LR_log",0.998298604057504,-0.0424427347023586,0.462852667020828,-0.0417153775916696,-0.0424427347023593,0.00110343213750885,NA,NA,"CT",0.5,2
"60","SR_log",0.966261586401933,0.0318461644119022,0.487160386297175,0.0318308789764228,0.0318461644119022,0.0578241140138197,NA,NA,"CT",0.5,2
"61","DS_log",1,0.352442248822605,0.391124490168633,0.352865638784939,0.352442248822605,0.287139213820187,NA,0.306619386688558,"CT",0.5,2
"62","ITM_log",0.999747005887811,0.0163011588347521,0.173931208791252,0.0163168059357526,0.0163011588347524,NA,NA,-0.0646030789188376,"CT",0.5,2
"63","Area_log",1,-0.477603211941919,0.257152625161707,-0.477597988285756,-0.477603211941921,NA,NA,NA,"CT",0.5,2
